Characteristic,Category,Percentage of population age 0-4,Percentage of population age 5-9,Percentage of population age 10-14,Percentage of population age 15-19,Percentage of population age 20-24,Percentage of population age 25-29,Percentage of population age 30-34,Percentage of population age 35-39,Percentage of population age 40-44,Percentage of population age 45-49,Percentage of population age 50-54,Percentage of population age 55-59,Percentage of population age 60-64,Percentage of population age 65-69,Percentage of population age 70-74,Percentage of population age 75-79,Percentage of population age 80 +,Dependency age group 0-14,Dependency age group 15-64,Dependency age group 65+,Child population 0-17,Adult population 18+,Adolescents 10-19
  Borno,Total,16.85,17.9,13.8,10.1,6.95,6.75,6.45,4.35,3.85,2.75,3.05,2.1,1.85,1.05,1.05,0.5,0.55,48.6,48.2,3.15,55.05,44.95,23.9
  Borno,Male,17.8,18.5,13,9.7,5.6,6.2,6,4.3,4.3,2.8,2.9,2.3,2.4,1.4,1.6,0.6,0.6,49.3,46.5,4.2,55.5,44.5,22.6
  Borno,Female,15.9,17.3,14.6,10.5,8.3,7.3,6.9,4.4,3.4,2.7,3.2,1.9,1.3,0.7,0.5,0.4,0.5,47.9,49.9,2.1,54.6,45.4,25.2
  Gombe,Total,17.75,18.4,13.8,10.2,7.3,6.55,5.45,4.75,4.1,2.8,2.4,1.85,1.55,1.2,1,0.45,0.45,49.95,47,3.1,56.65,43.35,23.95
  Gombe,Male,17.3,18.9,14,12,7.1,5.4,4.8,3.8,3.8,3.2,2.5,1.9,1.5,1.4,1.3,0.6,0.6,50.2,46,3.9,58.1,41.9,26
  Gombe,Female,18.2,17.9,13.6,8.4,7.5,7.7,6.1,5.7,4.4,2.4,2.3,1.8,1.6,1,0.7,0.3,0.3,49.7,48,2.3,55.2,44.8,21.9
  Taraba,Total,18.9,18,12.95,8.85,6.9,7.1,5.9,5.35,3.7,2.95,2.6,2,1.45,1.3,0.75,0.35,0.95,49.75,46.85,3.4,54.95,45.05,21.8
  Taraba,Male,19.6,19.4,13.1,7.8,5.4,5.6,5.2,5.8,3.9,3.6,2.6,1.8,1.8,1.8,0.9,0.4,1.2,52,43.7,4.3,56.5,43.5,20.9
  Taraba,Female,18.2,16.6,12.8,9.9,8.4,8.6,6.6,4.9,3.5,2.3,2.6,2.2,1.1,0.8,0.6,0.3,0.7,47.5,50,2.5,53.4,46.6,22.7
  Yobe,Total,17.45,19.75,13.6,10.9,6.5,6.55,4.95,4.75,3.3,2.75,3.6,1.35,1.8,0.6,1.15,0.6,0.45,50.75,46.4,2.85,58.3,41.7,24.45
  Yobe,Male,17.7,18.6,14.1,11.5,6.4,5.7,4.8,4.2,3.1,3.3,3.6,1.2,2.3,0.7,1.4,0.8,0.6,50.4,46,3.6,58.7,41.3,25.5
  Yobe,Female,17.2,20.9,13.1,10.3,6.6,7.4,5.1,5.3,3.5,2.2,3.6,1.5,1.3,0.5,0.9,0.4,0.3,51.1,46.8,2.1,57.9,42.1,23.4
  Jigawa,Total,19.3,20.9,13.65,8.65,6.35,6.8,4.6,4,3.5,3,2.5,2.7,1.45,1.4,0.7,0.3,0.3,53.9,43.45,2.65,59.4,40.6,22.35
